Person,Contribution,Creator_role,Notes
María Rosa Oliver,"""'Titeres de Cachiporra'. Los fantoches de Maese Perico"" (notas)",AU,
Enrique Bullrich,"""Discos: A propósito de 'Les Noches' de Stawinsky"" (notas)",AU,
Victoria Ocampo,"""La mujer y su expresión""",AU,
Jorge Luis Borges,"""El Delator"" (notas)",AU,
Aldous Huxley,"""Naturaleza y límite de la influencia de los escritores""",AU,
Eduardo Mallea,"""Momentum vitae""",AU,
Gervasio Guillot Muñoz,"""René Crevel"" (notas)",AU,
Charles Baudouin,"""El punto de vista de C. G. Jung y la 'Realidad del Alma'"" (notas)",AU,
Juan José Castro,"""Arturo Toscanini"" (notas)",AU,
Luis Saslavsky,"""'Crimen a las 3'. Una película de valores desiguales""",AU,
Waldo Frank,"""Un capítulo de 'La muerte y nacimiento de David Markand'""",TR,
Leopoldo Marechal,"""'Don Segundo Sombra' y el ejercicio ilegal de la crítica"" (notas)",AU,
Eduardo Mallea,"""El escritor de hoy frente a su tiempo"" (1)",AU,
María Rosa Oliver,"""Una exposición de escenotécnica italiana"" (notas)",AU,
Enrique Bullrich,"""Tres conciertos de Juan José Castro"" (notas)",AU,
Le Corbusier,"""El espíritu de Sudamerica""",AU,
Ricardo Molinari,"""Elegía""",AU,
Gerald Heard,"""Un cambio fundamental en la inglaterra de hoy""",AU,
Leopoldo Hurtado,"""Las crónicas autobiográficas de Igor Strawinsky"" (notas)",AU,
Juan Carlos Paz,"""Héctor Villa Lobos y Claudio Arrau"" (notas)",AU,
Emilio Pettoruti,"""Fines y organización de los salones de arte"" (notas)",AU,
Luis Saslavsky,"""A propósito del film 'Escape me never'"" (notas)",AU,
Victoria Ocampo,"""El esbozo de una vida""",AU,
Nicolás Berdiaeff,"""Personalismo y marxismo""",AU,
Gustavo Pittaluga,"""Grandeza y servidumbre del libro (Las fuentes de la cultura)""",AU,
María Rosa Oliver,"""Salon de artes plásticas: Resumen"" (notas)",AU,
Horacio Linares,"""Salon de artes plásticas: Los premios"" (notas)",AU,
Jorge Romero Brest,"""Fotografías de Horacio Coppola y Grete Stern"" (notas)",AU,
Valery Larbaud,"""Una obra americana"" (notas)",AU,
Horacio Butler,"""Salon de artes plásticas: Tres opiniones (1)"" (notas)",AU,
Raúl Soldi,"""Salon de artes plásticas: Tres opiniones (2)"" (notas)",AU,
Aquiles Badi,"""Salon de artes plásticas: Tres opiniones (3)"" (notas)",AU,
Victoria Ocampo,"""Sobre un mal de esta ciudad"" (notas)",AU,
Jorge Luis Borges,"""Una vindicación de Mark Twain""",AU,
Amado Alonso,"""Borges, narrador"" (notas)",AU,
José Bianco,"""Siete años""",AU,
Leon Chestov,"""Kierkegaard y Dostoyewsky""",AU,
Pedro Henríquez Ureña,"""Tradición e Innovación en Lope de Vega""",AU,
