People,Creator_role,Title,Notes
Jorge Icaza,Author,Expresión del pensamiento contemporáneo,
Juana de Ibarbourou,Author,Expresión del pensamiento contemporáneo,
Juan Ramón Jiménez,Author,Expresión del pensamiento contemporáneo,
Arthur Koestler,Author,Expresión del pensamiento contemporáneo,
Pedro Laín Entralgo,Author,Expresión del pensamiento contemporáneo,
Juan Liscano,Author,Expresión del pensamiento contemporáneo,
André Malraux,Author,Expresión del pensamiento contemporáneo,
Gabriela Mistral,Author,Expresión del pensamiento contemporáneo,
Luis Monguió,Author,Expresión del pensamiento contemporáneo,
H. A. Murena (Héctor Alberto Álvarez),Author,Expresión del pensamiento contemporáneo,
A. Pareja Diezcanseco,Author,Expresión del pensamiento contemporáneo,
Octavio Paz,Author,Expresión del pensamiento contemporáneo,
Mario Pedrosa,Author,Expresión del pensamiento contemporáneo,
Mariano Picón Salas,Author,Expresión del pensamiento contemporáneo,
Raúl Prebisch,Author,Expresión del pensamiento contemporáneo,
E. L. Revol,Author,Expresión del pensamiento contemporáneo,
Augusto Roa Bastos,Author,Expresión del pensamiento contemporáneo,
Luis Alberto Sánchez,Author,Expresión del pensamiento contemporáneo,
Arturo Serrano Plaja,Author,Expresión del pensamiento contemporáneo,
Ignazio Silone,Author,Expresión del pensamiento contemporáneo,
Alfonso Reyes,Author,Expresión del pensamiento contemporáneo,
Agustín Yañez,Author,Expresión del pensamiento contemporáneo,
Luis Mercier Vega,Author,Mecanismos del poder en América Latina,
François Bourricaud,Author,Poder y sociedad en el perú contemporáneo,
Victoria Ocampo,Author,Diálogo con Mallea,
Ernesto Sabato,Author,Itinerario,
Adolfo Bioy Casares,Author,Memoria sobre la pampa y los gauchos,
Marcel Aymé,Author,Las cuatro verdades,
Silvina Ocampo,Author,La furia,
Graham Greene,Author,El cuarto en que se vive,
Graham Greene,Author,Una mujer imposible. Memorias de la Dottoressa Moor de Capri,
Graham Greene,Author,¿Puedes prestarme su marido? Y otras comedias de la vida sexual,
Albert Harkness Jr.,Author,Antología de la prosa norteamericana,
Jules Romains,Author,Discurso pronunciado en la inauguración del Congreso Internacional de los P.E.N. Clubs,
Jorge Luis Borges,Author,Otras inquisiciones,
Lewis Mumford,Author,Las transformaciones del hombre,
Jean-Paul Sartre,Author,Existencialismo y Humanismo,
Martin Heidegger,Author,Existencialismo y Humanismo,
Max Scheler,Author,Amor y conocimiento,
Karl Jaspers,Author,"Esencia y formas de lo trágico, Leonardo como filósofo",
Elémire Zolla,Author,Antropología negativa,
Edwin Lieuwen,Author,Armas y política en América Latina,
Romano Guardini,Author,El fin de los tiempos modernos,
Max Muller,Author,Crisis de la metafísica,
